objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age
3.18264,KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,,2.5,,7.71,46.0,0.552,,,4570.0,,0.58,,,,
3.11863,KELT-4 A b,KELT-4 A,2.9895932,0.04317,0.0,19.044091,286.68266,0.228,1823.0,1840.0,6206.0,0.53529,1.201,1.603,-0.116,4.108,4.44
3.14704,TOI-1937 A b,TOI-1937 A,0.94667944,0.01932,0.0,13.97759893,638.83509807,1.28,2097.0,3230.0,5814.0,0.0799,1.072,1.08,0.196,4.401,3.6
3.741,Kepler-215 d,Kepler-215,30.864423,0.185,0.0,2.39,23.6,9.5,527.0,21.404,5739.0,-0.1172,0.788,1.027,-0.4425,4.364,1.62
3.7256,Kepler-1388 d,Kepler-1388,20.9568158,0.126,0.0,2.86,8.55,2.01,363.0,8.66,4098.0,-1.1068,0.63,0.61,0.02,4.67,4.47
3.2963,Kepler-1867 b,Kepler-1867,9.887359619,0.0872,0.0,1.15985997,1.65,5.81,768.0,82.32,5693.0,0.21949,0.911,0.816,-0.24,4.57,0.5
3.3334,Kepler-1130 c,Kepler-1130,3.266639948,0.04238,0.0,0.79239584,0.422,4.66,1072.0,316.9,5450.0,-0.25964,0.944,0.842,0.1,4.563,1.58
3.246,Kepler-114 b,Kepler-114,5.188549,0.053,0.0,1.26,1.09,2.53,586.0,92.535,4605.0,-0.6853,0.77,0.667,0.2291,4.65,2.69
3.12623,MOA-2013-BLG-220L b,MOA-2013-BLG-220L,,3.03,,13.2,871.0,2.08,,,,,0.88,,,,
3.9257,EPIC 212737443 b,EPIC 212737443,13.603,0.098,0.2,2.586,7.2,2.29,536.0,,4684.0,-0.75057,0.69,0.673,-0.137,4.622,
3.11212,HD 20782 b,HD 20782,597.0643,1.3649,0.95,13.6,472.83,1.03,,,5782.13,0.10674,1.04,1.12681,-0.0537,4.3514,5.53
3.9141,K2-270 c,K2-270,4.400028,0.0497,,2.95,9.01,1.93,848.0,,4877.0,-0.51819,0.85,0.77,0.26,4.59,
3.136,Kepler-410 A b,Kepler-410 A,17.833648,0.1226,0.17,2.838,8.44,2.03,866.0,159.5,6273.0,0.435,1.214,1.352,0.01,4.261,2.76
3.765,Kepler-254 b,Kepler-254,5.826662,0.064,0.0,3.87,14.3,1.36,1013.0,184.341,5957.0,-0.12491,0.849,0.91,-0.13,4.524,0.3
3.2245,Kepler-1113 b,Kepler-1113,42.3004954,0.2415,0.0,2.81,8.3,2.06,558.0,22.849,5931.0,0.07994,1.12,1.17,0.18,4.35,3.55
3.1256,Kepler-841 b,Kepler-841,124.4198398,0.479,0.0,5.23,23.8,0.914,416.0,1.648,5324.0,-0.36224,0.85,0.81,-0.09,4.56,4.47
3.11288,HD 4203 b,HD 4203,431.88,1.17,0.52,13.3,708.7609,1.66,,,5596.0,0.29285,1.25,1.42,0.4,4.23,8.52
3.1977,Kepler-331 b,Kepler-331,8.457496,0.065,0.0,1.82,3.97,3.62,540.0,35.984,4347.0,-0.78358,0.653,0.492,0.1179,4.768,1.2
3.11758,HD 7924 d,HD 7924,24.451,0.1551,0.21,2.42,6.44,2.5,499.0,15.17,5075.0,-0.40636,0.832,0.7821,-0.15,4.59,0.88
3.83,Kepler-48 b,Kepler-48,4.778,0.05394,0.0,1.88,3.94,3.23,932.0,173.12,5194.0,-0.28926,0.88,0.89,0.17,4.487,3.14
3.11643,Kepler-25 d,Kepler-25,122.4,0.4164221832,0.13,10.0,71.9,0.395,,,6354.0,0.4216,1.165,1.316,0.11,4.285,2.75
3.874,Kepler-550 b,Kepler-550,8.600104109,0.0747,0.0,4.42,17.9,1.14,760.0,77.258,5322.0,-0.38383,0.87,0.83,-0.02,4.55,4.68
3.11994,HD 106315 b,HD 106315,9.55237,0.0907,0.093,2.44,12.6,4.7,1153.0,277.0,6327.0,0.39454,1.091,1.296,-0.311,4.252,4.48
3.2467,Kepler-1792 b,Kepler-1792,4.1957798,0.0488,0.0,2.51990972,6.89,2.37,1047.0,283.78,5229.0,-0.50826,0.878,1.005,0.32,4.378,
